id,spoonScore,PricePerServing,EquipLen,logReadyInMinutes
123128,52.0,394.72,0,1.6532125137753437
137471,17.0,36.16,0,1.0
123434,38.0,70.18,0,1.5440680443502757
255661,96.0,320.46,1,1.1760912590556813
35546,55.0,204.91,0,2.3010299956639813
35978,71.0,149.47,0,1.6532125137753437
226038,10.0,2.18,2,1.6532125137753437
295845,79.0,491.27,2,1.5440680443502757
36514,38.0,79.12,0,1.6532125137753437
299408,14.0,43.33,9,1.6532125137753437
285766,7.0,27.18,7,1.6532125137753437
2647,65.0,371.24,4,1.6532125137753437
12119,40.0,262.25,0,2.3010299956639813
46273,5.0,47.7,0,1.6532125137753437
51156,59.0,219.4,4,1.6532125137753437
280994,80.0,576.04,7,2.574031267727719
7735,19.0,8.68,1,1.0
1149,59.0,348.04,0,1.5185139398778875
42559,46.0,273.99,0,1.6532125137753437
149992,37.0,49.33,2,2.4771212547196626
103106,82.0,119.03,0,1.3010299956639813
285496,50.0,340.46,5,1.6532125137753437
184562,31.0,52.61,6,2.041392685158225
271668,66.0,117.66,2,1.6989700043360187
149028,57.0,74.07,0,1.6532125137753437
295037,15.0,34.22,5,1.5440680443502757
64067,33.0,195.33,0,1.9822712330395684
121257,75.0,393.93,0,2.694605198933569
108442,35.0,213.07,0,1.9030899869919435
35895,86.0,361.68,0,1.6532125137753437
145434,40.0,78.84,0,1.6020599913279623
243118,48.0,103.96,4,3.6532125137753435
214499,65.0,529.31,5,1.6532125137753437
274798,73.0,212.09,1,1.3979400086720377
128157,15.0,238.11,1,1.6532125137753437
56132,66.0,148.86,4,1.6532125137753437
91185,59.0,308.37,0,1.4771212547196624
240938,68.0,574.53,3,1.3010299956639813
11072,96.0,523.17,0,1.3010299956639813
198140,28.0,32.48,2,1.9030899869919435
272530,70.0,182.23,4,1.845098040014257
105401,73.0,191.23,0,1.5440680443502757
159737,5.0,12.09,1,1.6532125137753437
192262,23.0,204.2,2,1.3979400086720377
239997,74.0,183.13,1,1.6532125137753437
81695,57.0,268.77,4,1.6020599913279623
21618,61.0,205.27,0,2.6848453616444123
72479,20.0,17.4,6,1.6532125137753437
9203,45.0,102.67,0,1.6532125137753437
35564,55.0,63.12,1,1.6532125137753437
207756,25.0,88.29,6,1.845098040014257
119692,45.0,78.1,0,1.1760912590556813
90854,11.0,41.07,4,1.6532125137753437
20304,87.0,262.33,3,1.6532125137753437
80743,21.0,16.55,0,1.3979400086720377
240741,5.0,0.56,2,0.47712125471966244
83199,23.0,54.66,5,0.6989700043360189
281267,52.0,155.81,0,2.3979400086720375
132381,67.0,23.77,0,1.845098040014257
14679,75.0,809.27,7,1.6532125137753437
25763,47.0,380.7,0,1.6532125137753437
2281,76.0,3090.74,2,1.3979400086720377
71268,67.0,999.3,0,1.6989700043360187
84484,37.0,15.3,0,2.5888317255942073
41558,58.0,311.61,0,2.307496037913213
205887,18.0,53.77,7,1.6532125137753437
217362,11.0,40.73,4,1.6532125137753437
58099,52.0,178.66,0,1.6532125137753437
162023,6.0,15.93,2,2.041392685158225
259745,42.0,357.98,4,1.6532125137753437
56800,54.0,169.18,0,1.6532125137753437
107085,73.0,39.5,0,1.6532125137753437
193824,22.0,40.48,5,3.1760912590556813
29425,98.0,137.68,0,1.3010299956639813
143119,65.0,444.03,0,2.278753600952829
295577,35.0,121.64,4,1.4771212547196624
4212,74.0,531.26,7,1.4771212547196624
172174,75.0,203.37,3,2.8692317197309762
182903,6.0,27.96,5,2.0791812460476247
240007,35.0,205.1,3,1.6532125137753437
294627,15.0,77.91,4,2.130333768495006
184344,71.0,353.08,5,2.361727836017593
170585,82.0,193.9,1,1.3979400086720377
6592,66.0,476.85,3,1.6532125137753437
11308,89.0,420.52,0,1.6532125137753437
177802,5.0,6.25,3,1.6989700043360187
122152,68.0,246.77,0,2.6989700043360187
276242,29.0,147.21,4,1.6532125137753437
238403,48.0,142.85,4,1.6532125137753437
127091,27.0,46.51,0,1.4771212547196624
79561,54.0,634.6,4,1.1760912590556813
187153,70.0,250.25,2,1.6532125137753437
1749,67.0,622.91,4,1.6532125137753437
83625,61.0,287.16,0,1.6532125137753437
77763,7.0,28.56,0,0.6020599913279624
41118,30.0,25.68,0,1.7781512503836436
177179,15.0,26.02,1,1.0
249432,74.0,405.16,3,1.3010299956639813
213222,7.0,13.79,6,1.6532125137753437
195909,17.0,55.06,7,2.380211241711606
6355,88.0,796.03,3,1.4771212547196624
82295,77.0,434.01,0,2.681241237375587
145824,79.0,217.82,0,1.7781512503836436
218198,74.0,134.69,6,1.6532125137753437
42352,68.0,87.05,0,1.6532125137753437
205959,70.0,367.0,2,1.5440680443502757
76392,48.0,797.64,0,1.6532125137753437
99683,37.0,44.9,0,1.1760912590556813
248345,81.0,329.22,2,1.6532125137753437
16170,78.0,782.86,0,2.2095150145426308
79157,31.0,147.92,6,1.6532125137753437
272639,31.0,26.67,1,1.1760912590556813
191546,74.0,174.13,2,1.0
246028,0.0,374.84,1,1.3010299956639813
252778,87.0,267.5,3,2.423245873936808
260730,15.0,65.26,3,1.6532125137753437
114714,65.0,139.45,2,1.4771212547196624
153200,36.0,151.81,7,3.1760912590556813
71032,18.0,131.93,0,2.2600713879850747
220139,56.0,158.42,2,1.6532125137753437
94007,54.0,48.93,0,1.6020599913279623
32733,62.0,175.15,7,1.6532125137753437
234114,65.0,205.31,4,1.3010299956639813
129408,22.0,16.39,0,1.462397997898956
158105,6.0,24.14,3,1.6020599913279623
111762,79.0,215.89,0,1.7781512503836436
295785,81.0,297.74,4,1.8750612633917
184160,38.0,41.34,6,1.6532125137753437
32606,51.0,247.08,0,1.6532125137753437
104166,37.0,57.78,0,1.845098040014257
239633,81.0,406.78,1,1.6232492903979006
230091,80.0,307.2,5,1.6532125137753437
255977,64.0,377.89,3,1.9777236052888478
39660,76.0,761.0,0,1.3979400086720377
184314,13.0,17.76,5,2.130333768495006
87581,85.0,1187.34,0,1.4771212547196624
115938,61.0,149.72,7,2.4771212547196626
84840,83.0,565.6,0,1.5440680443502757
129541,28.0,256.11,0,1.0
182410,8.0,49.76,6,1.845098040014257
201430,68.0,199.65,4,1.4771212547196624
239187,35.0,17.24,2,1.6532125137753437
159203,37.0,87.38,7,1.5440680443502757
275474,20.0,25.45,1,1.4771212547196624
288733,56.0,150.79,5,1.3010299956639813
271183,11.0,93.49,2,2.146128035678238
171908,9.0,12.11,5,1.8750612633917
34216,36.0,32.61,2,1.6532125137753437
133744,47.0,90.01,0,2.060697840353612
274494,23.0,16.07,2,1.2304489213782739
127954,14.0,14.56,0,1.6532125137753437
30736,69.0,157.22,4,1.4771212547196624
128068,30.0,358.6,0,1.6532125137753437
270741,6.0,20.06,3,2.462397997898956
279667,66.0,192.41,6,2.0211892990699383
273834,19.0,13.17,3,1.3979400086720377
173480,81.0,122.08,5,1.9030899869919435
289202,52.0,167.91,4,1.9030899869919435
228043,57.0,251.83,2,1.6532125137753437
178168,15.0,22.56,4,1.4771212547196624
131413,28.0,161.3,0,2.0
