,cuisines,dishTypes,spoonScore,Vegan,Vegetarian,ImageURL,Title,SourceURL,readyInMinutes,PricePerServing,Summary,equipment
51808,['American'],['side dish'],28.0,False,True,https://spoonacular.com/recipeImages/51808-556x370.jpg,Lemon-blueberry Cupcakes,http://weevaliciousrecipes.blogspot.com/2007/09/lemon-blueberry-cupcakes.html,45,91.85,"Lemon-blueberry Cupcakes might be just the dessert you are searching for. One serving contains 693 calories, 9g of protein, and 41g of fat. This recipe serves 5. For 86 cents p",
47003,['Southern'],"['lunch', 'main course', 'main dish', 'dinner']",48.0,False,True,https://spoonacular.com/recipeImages/47003-556x370.jpg,Chive-corn Muffins,http://www.bonappetit.com/recipes/2001/04/chive_corn_muffins,45,125.18,"The recipe Chive-corn Muffins is ready in roughly 45 minutes and is definitely an excellent vegetarian option for lovers of Southern food. For $1.21 per serving, this recipe co",
26550,[],"['lunch', 'main course', 'main dish', 'dinner']",64.0,False,True,https://spoonacular.com/recipeImages/26550-556x370.jpg,Black Bean Chorizo Torta,http://www.fronterafiesta.com/cook/starters-snacks-a-light-meals/89-black-bean-chorizo-torta.html,45,277.82,"You can never have too many main course recipes, so give Black Bean Chorizo Tortan a try. One portion of this dish contains around 34g of protein, 53g of fat, and a total of 848 calor",
190134,[],"['lunch', 'main course', 'main dish', 'dinner']",56.0,False,False,https://spoonacular.com/recipeImages/190134-556x370.jpg,Crab Cakes with Spicy Avocado Sauce,http://www.epicurious.com/recipes/food/views/Crab-Cakes-with-Spicy-Avocado-Sauce-109310,45,465.27,"You can never have too many hor d'oeuvre recipes, so give Crab Cakes with Spicy Avocado Sauce a try. Watching your figure? This pescatarian recipe has 228 calories, 23g of protein, and <","['baking sheet', 'aluminum foil', 'oven']"
232009,[],"['lunch', 'main course', 'main dish', 'dinner']",44.0,False,False,https://spoonacular.com/recipeImages/232009-556x370.jpg,Outside-in Cheddar Sliders on Mini Buns,http://www.epicurious.com:80/recipes/food/views/Outside-in-Cheddar-Sliders-on-Mini-Buns-353829,45,112.57,"Outside-in Cheddar Sliders on Mini Buns might be just the hor d'oeuvre you are searching for. This recipe makes 8 servings with 221 calories, 15g of protein, and 17g of fat each. ",['grill']
294018,"['German', 'European']","['lunch', 'main course', 'main dish', 'dinner']",64.0,False,False,https://spoonacular.com/recipeImages/294018-556x370.jpeg,Paprika Chicken Schnitzel with Fried Eggs (Holstein),http://www.foodnetwork.com/recipes/rachael-ray/paprika-chicken-schnitzel-with-fried-eggs-holstein-recipe.html,35,230.05,"The recipe Paprika Chicken Schnitzel with Fried Eggs (Holstein) could satisfy your European craving in roughly 35 minutes. For $2.3 per serving, this recipe covers 30% of your dai","['oven', 'baking sheet', 'frying pan']"
116787,[],['side dish'],51.0,False,True,https://spoonacular.com/recipeImages/116787-556x370.jpg,Mum's Leek and Potato Soup,http://www.food.com/recipe/mums-leek-and-potato-soup-182535,40,108.08,"Mum's Leek and Potato Soup is a gluten free and vegetarian soup. This recipe serves 4. One serving contains 453 calories, 11g of protein, and 29g of fat. For $1.08 per s",
205095,[],[],5.0,False,False,https://spoonacular.com/recipeImages/205095-556x370.jpg,Gramercy Tavern's Expat,http://www.seriouseats.com/recipes/2012/10/gramercy-tavern-fall-rum-cocktail-expat-recipe.html,15,233.21,"Watching your figure? This gluten free, dairy free, and fodmap friendly recipe has 221 calories, 0g of protein, and 0g of fat per serving. For $3.6 per serving, this recipe",[]
